score,genre,review
5,스토리배우,"홍보를 잘 했더하면"
9,스토리배우,"누구나 충분히 공감이 갈 내용을 잘 표현했네요."
10,스토리배우,"재미나고 웃기기도하고 감동적이기하고 꼬끝이 찡했던 영화"
9,스토리배우,"후회하지 않으실꺼에요 그냥 보러 갔다 갬동"
8,배우,"너무 기대를 해서 그런지 조금 실망스러웠어요ㅠㅠ"
10,스토리배우,"재미.감동.약간의로맨스/원래도 좋아했던 이수경배우의 연기가 대단해요/초반엔 웃고 중반엔 웃프고 후반갈수록 계속 눈물만 ㅠㅠ"
8,배우,"연기는 백점. 영화시간이 넘 길어요"
6,영상미,"무난했습니다!~~!"
4,배우,"기....적같은. 감독은 밥은 먹고 다니냐?"
9,배우,"오랜만에 보는 잔잔한 가족영화"
10,배우,"가족을 생각하게 하는 영화네요"
10,배우OST,"또 보고 싶은 영화 재미와 감동 둘 다 좋았어요 오랜만에 맘에 드는 영화 봤네요ㅎㅎ"
10,스토리배우,"스토리도 탄탄하고 배우연기력도 굿~! 마음이 따뜻해지는 영화"
9,스토리배우,"비디오 오프닝, 승용차 번호판 등 고증이 약간 아쉬움."
8,배우,"편안하게 볼 수 있는 정도"
8,배우,"감동적으로 봤습니다~"
10,연출배우,"이건 정말 최고입니다!!"
10,연출영상미,"재밌는 포인트가 많았습니다 솔직히 중간중간에 좀 졸렸어요 후반으로 갈 수록 눈물 포인트가 많아서 감동적이 었습니다. 로맨스가 재밌기도 했고 17금 같기도 했습니다. 감동이고 재미"
10,배우OST,"예고편이 다가 아닌, 정말 재미있고 슬프고 감동적인 영화"
10,스토리배우,"기대안했는데 반전에다가 넘 감동적이라 계속 울면서봤네요 진짜 강추입니다!!"
10,스토리배우,"너무 감동적이에요 재미있게 봤어요"
10,스토리배우,"귿귿귿 좋아요~~추천~"
10,스토리배우,"80년대 향수 멋찜...감동"
9,연출배우,"배우들이 연기를 너무 잘했어요."
9,연출배우,"취향에 맞아서 재밌게 잘 봤어요."
9,연출배우,"마음 따뜻해지는 영화였어요."
10,배우,"손수건이 필요했던순간순간이 넘칩니딘"
10,연출스토리,"오랜만에 눈물쏙 빼고왔어요...감동감동이에요.."
10,연출,"잘봤어요 ~~!!!"
6,스토리배우,"잔잔하니 좋네요 박정민 윤아 굿."
10,스토리배우,"감동과 재미둘다있습니다"
8,연출스토리,"약간의 기적이 좀 더 필요함"
8,배우OST,"그럭저럭 재밌음.."
10,배우,"누나의 반전 식스센스급이다"
7,스토리,"식스센스와 감동드라마???"
7,스토리,"신파극 같은느낌이들고 양원역에대한 스토리보다 급 로맨스?...음...마무리도 .."
9,스토리배우,"양평역이 어딘지 모르지만 균형있는 발전이 이뤄지길 청와대에 바랍니다~"
8,영상미배우,"전체적으로 좋으나 너무 추억팔이가 아닌가 하는 생각이 언뜻"
10,스토리배우,"짧지않은 시간인데도 전혀 지루하지않았고 감동도 있다"
10,스토리배우,"귀엽고 사랑스럽고 감동이 있고 ᆢ즐거웠습니다"
10,연출스토리,"너무 너무 강추합니다. 시간 가는줄 모르고 봤습니다. 러블리 윤아 배우님, 이수경 배우님 덕에 눈호강하고 박정민, 이성민 배우님 덕에 아버지 생각나서 눈물 뺐네요."
10,스토리배우,"휴지 필수 ,, 가벼운 마음으로 관람하다가 마지막에 폭풍 감동을 받고 나온 영화 ,,"
10,영상미배우,"감동적입니다 잘봤습니다~~~"
7,연출배우,"한이라는 보편적 정서의 활용"
10,스토리배우,"배우들의 연기가 돋보이는 영화입니다!! 윤아 예뻐요 ㅎ"
8,스토리영상미,"너무 감동적이고 재밌는데 실화라니 더 좋아요~"
10,스토리,"재미도 있고 감동도 있습니다.강추"
10,스토리,"배우들의 연기력 대본의 짜임세 뭉클함 감동 넘~~ 좋았습니다~"
10,스토리OST,"재미있고 감동 있었어요^^"
